id,age,income,highest_degree,self_learning_hours,favourite_domain
0,58,19,High School,2.97,Software Engineering
1,32,22,High School,2.71,Business Analytics
2,23,80,PhD,0.13,AI
3,31,34,High School,2.24,Business Analytics
4,44,33,PhD,2.36,AI
5,66,25,PhD,1.36,Software Engineering
6,31,48,High School,0.37,AI
7,40,49,Master,3.23,Cybersecurity
8,52,20,PhD,0.32,Data Science
9,58,84,Master,2.31,AI
10,20,89,Bachelor,3.09,AI
11,32,17,PhD,1.11,Data Science
12,28,52,Master,0.84,Data Science
13,62,92,High School,2.44,Software Engineering
14,52,98,Bachelor,0.65,Cybersecurity
15,35,86,Bachelor,2.74,AI
16,32,9,Master,1.6,AI
17,31,77,Master,0.85,Cybersecurity
18,43,87,PhD,0.57,Software Engineering
19,33,100,Master,2.99,Cybersecurity
20,55,56,Master,0.88,Software Engineering
21,50,68,High School,3.02,AI
22,27,85,Bachelor,3.17,Cybersecurity
23,56,13,PhD,1.53,Cybersecurity
24,51,37,High School,2.72,AI
25,61,73,Master,3.07,Data Science
26,25,42,PhD,0.63,AI
27,64,97,Master,3.89,Software Engineering
28,50,18,Master,3.37,Business Analytics
29,56,30,Bachelor,1.5,Software Engineering
30,52,72,High School,2.4,Cybersecurity
31,19,19,Master,3.51,Data Science
32,33,12,Bachelor,3.51,AI
33,23,98,PhD,3.26,Business Analytics
34,67,21,Bachelor,2.64,Business Analytics
35,28,38,PhD,3.86,Business Analytics
36,66,98,Bachelor,2.85,Cybersecurity
37,60,88,Master,1.75,Business Analytics
38,46,20,Bachelor,0.9,Data Science
39,19,80,Bachelor,2.35,AI
40,22,95,High School,0.92,AI
41,39,14,Bachelor,1.11,Cybersecurity
42,31,74,Bachelor,2.89,Business Analytics
43,54,65,Bachelor,3.14,Cybersecurity
44,30,17,High School,2.64,Data Science
45,45,57,PhD,3.46,AI
46,61,88,High School,0.24,Data Science
47,69,18,Bachelor,0.77,Business Analytics
48,46,22,PhD,0.73,Cybersecurity
49,33,14,PhD,3.23,Business Analytics
50,24,11,High School,3.88,Software Engineering
51,28,57,PhD,1.93,Cybersecurity
52,21,26,PhD,0.01,Cybersecurity
53,34,63,Master,1.69,Business Analytics
54,60,96,PhD,0.62,Data Science
55,31,12,High School,2.99,AI
56,21,79,PhD,2.01,Business Analytics
57,28,12,High School,3.41,AI
58,56,13,Bachelor,1.62,Business Analytics
59,33,79,High School,2.48,Cybersecurity
60,60,79,Master,3.74,Software Engineering
61,60,96,Master,0.95,Cybersecurity
62,26,90,Master,1.83,AI
63,18,63,High School,0.29,Software Engineering
64,50,38,Bachelor,3.73,AI
65,33,52,Master,0.63,Business Analytics
66,63,43,High School,2.67,Business Analytics
67,37,89,High School,3.76,Software Engineering
68,34,19,High School,2.97,Software Engineering
69,35,41,Bachelor,2.87,Software Engineering
70,61,86,Master,2.02,Data Science
71,21,16,PhD,3.32,AI
72,18,47,Bachelor,2.55,Data Science
73,28,99,PhD,2.21,Cybersecurity
74,53,6,High School,0.3,Software Engineering
75,52,9,Master,2.33,Software Engineering
76,45,21,High School,1.23,AI
77,40,31,Bachelor,2.67,Data Science
78,67,76,PhD,3.9,Software Engineering
79,33,25,Bachelor,3.53,AI
80,29,99,Master,3.13,Cybersecurity
81,69,90,Bachelor,1.07,AI
